HDAC	AVP	Count	Group	NPM
4.69	2.56	8	1	12.23
6.41	3.94	10	1	11.84
5.47	3.39	9	1	12.25
3.43	2.47	7	1	11.10
4.39	2.86	8	1	10.97
2.15	1.26	5	1	8.75
1.54	1.37	6	1	7.75
2.67	2.22	6	1	10.50
1.24	1.62	6	2	6.71
1.77	1.47	6	2	7.60
4.46	3.15	9	2	12.46
1.83	1.42	7	2	8.47
5.15	2.69	10	2	12.27
5.25	3.05	9	2	12.57
1.72	1.24	7	2	8.87
3.04	2.02	8	2	11.15
4.92	3.15	10	3	11.86
4.85	2.81	10	3	11.07
3.13	1.67	9	3	10.38
2.29	1.38	8	3	8.71
4.90	3.07	10	3	12.07
5.75	3.07	11	3	12.74
3.61	2.06	9	3	9.82
4.62	2.61	10	3	11.51
